family,feature,fam_mean,benign_mean,cohens_d,benign_overlap_pct
WannaCry,cmdline_unusual_dir_count,2.5333,6.3333,2.4759,0.0667
WannaCry,cmdline_script_tool_count,0.0,0.28,0.8819,0.72
WannaCry,dlllist_total,2826.2,3998.64,1.529,0.1733
WannaCry,dlllist_unique_dlls,662.0,789.2933,1.14,0.16
WannaCry,dlllist_avg_per_process,48.6047,53.0181,0.4765,0.5733
WannaCry,dlllist_non_system,3156.6667,4455.28,1.6336,0.1867
WannaCry,dlllist_avg_load_total_per_process,265.65,303.1816,0.4513,0.5467
WannaCry,dlllist_max_load_total_per_process,1530.0,2334.6667,0.2988,0.92
WannaCry,dlllist_avg_max_loadcount_per_process,4.9053,19.4312,0.2501,0.0933
WannaCry,dlllist_unusual_path_pid_count,3.4,6.0667,1.865,0.1867
WannaCry,dlllist_unusual_path_hit_count,35.1333,65.5333,1.582,0.2933
WannaCry,dlllist_crypto_pid_count,42.1333,57.96,1.5758,0.1867
WannaCry,dlllist_crypto_hit_count,91.2667,137.1867,2.3,0.12
WannaCry,dlllist_crypto_dlls,7.0,7.0,0.0,1.0
WannaCry,ldrmodules_total,972.8667,314.5333,2.8154,0.0667
WannaCry,ldrmodules_not_in_load,178.4,34.6933,3.6342,0.0133
WannaCry,ldrmodules_not_in_init,216.9333,53.52,4.0176,0.0133
WannaCry,ldrmodules_not_in_mem,178.4,34.6933,3.6342,0.0133
WannaCry,ldrmodules_avg_per_process,19.8787,10.4295,1.4682,0.3333
WannaCry,ldrmodules_max_per_process,94.3333,98.4,0.0931,0.2
WannaCry,ldrmodules_suspicious_path_pid_count,1.4667,1.24,0.2988,0.9067
WannaCry,ldrmodules_suspicious_path_hit_count,2.8667,3.0267,0.037,0.8267
WannaCry,vad_total,17535.2,18496.0667,0.7236,0.6133
WannaCry,vad_exec_count,6057.5333,6017.7067,0.1073,0.4667
WannaCry,vad_private_exec,23.8,16.4933,1.3295,0.36
WannaCry,vad_pid_count,102.7333,97.4133,0.5685,0.7867
WannaCry,vad_avg_regions_per_process,171.7293,189.6793,2.3429,0.0
WannaCry,vad_max_regions_per_process,2205.8667,2743.16,1.6345,0.1067
WannaCry,vad_avg_total_mem_per_process,0.0,0.0,0.0,1.0
WannaCry,vad_max_total_mem_per_process,0.0,0.0,0.0,1.0
WannaCry,vad_avg_max_region_size_per_process,0.0,0.0,0.0,1.0
WannaCry,vad_private_pid_count,101.7333,96.4133,0.5685,0.7867
WannaCry,vad_private_region_count,7676.8,8462.2667,1.0621,0.4933
WannaCry,vad_rwx_pid_count,5.3333,3.88,0.9197,0.88
WannaCry,vad_rwx_region_count,22.2667,14.9067,1.216,1.0
WannaCry,malfind_count,6.0,8.8933,0.4389,0.6667
WannaCry,malfind_rwx_region_count,4.3,3.0133,0.3784,0.7467
WannaCry,malfind_private,6.0,4.5867,0.5011,0.8667
WannaCry,malfind_private_exec,6.0,4.5867,0.5011,0.8667
WannaCry,malfind_pid_count,3.3,5.4267,0.7494,0.56
WannaCry,malfind_avg_regions_per_process,1.773,1.4392,0.8137,0.28
WannaCry,malfind_max_regions_per_process,2.8,2.52,0.2188,0.5733
WannaCry,malfind_rwx_pid_count,2.3,2.0267,0.1816,0.7867
WannaCry,handle_total,37676.2,37912.36,0.1068,0.56
WannaCry,handle_avg_per_process,475.2613,485.7695,0.2683,1.0
WannaCry,handle_file_count,1773.7333,1818.8,0.4084,0.8
WannaCry,handle_registry_count,2830.3333,2888.7733,0.1201,0.5067
WannaCry,handle_mutex_count,815.6,696.44,1.6136,0.28
WannaCry,handle_process_count,912.3333,900.44,0.2028,0.9733
WannaCry,handle_thread_count,1734.2667,1706.0533,0.1305,0.8933
WannaCry,handle_port_count,2011.2,1966.56,0.4316,0.6667
WannaCry,handle_event_count,9805.8667,10022.5733,0.3967,0.68
WannaCry,handle_section_count,1079.4,1139.0133,0.5176,0.2533
WannaCry,handle_semaphore_count,1597.0,1795.68,2.0096,0.04
WannaCry,handle_timer_count,884.0667,873.04,0.1455,0.6133
WannaCry,handle_desktop_count,79.2667,73.3733,0.6852,0.7867
WannaCry,handle_directory_count,208.8,194.0933,0.6817,0.8133
WannaCry,handle_token_count,530.2667,558.8267,0.2592,0.3867
WannaCry,handle_file_ratio,0.0471,0.0481,0.4,0.7467
WannaCry,handle_registry_ratio,0.0751,0.0756,0.0457,0.8267
WannaCry,handle_mutex_ratio,0.0216,0.0184,2.0021,0.1467
WannaCry,handle_encrypted_files,0.0,0.0,0.0,1.0
WannaCry,handle_wncryt_count,3.8667,0.0,1.0897,1.0
WannaCry,handle_eky_count,1.0,0.0,1000000000.0,0.0
WannaCry,handle_fun_count,0.0,0.0,0.0,1.0
WannaCry,filescan_total,6188.9333,5543.5733,0.5849,0.88
WannaCry,filescan_encrypted,524.1333,0.6933,2.273,0.0
WannaCry,filescan_ransom_notes,8.6667,0.0,1.3517,1.0
WannaCry,filescan_wncryt,523.4,0.0,2.2763,0.0
WannaCry,filescan_fun,0.0,0.0,0.0,1.0
WannaCry,filescan_jigsaw_notes,0.0,0.0,0.0,1.0
WannaCry,svcscan_total,617.5455,627.2419,0.5907,0.0806
WannaCry,svcscan_running,202.3636,217.2419,0.9854,1.0
WannaCry,svcscan_stopped,414.1818,409.0,0.4346,0.8387
WannaCry,svcscan_security_stopped,4.0909,5.0,1.291,1.0
WannaCry,priv_total_enabled,1342.4667,1147.24,0.9007,0.9867
WannaCry,netstat_total,41.2667,41.44,0.0707,1.0
WannaCry,netstat_established,1.0667,1.44,0.2022,0.64
WannaCry,netstat_listening,28.2,28.0,0.2425,1.0
WannaCry,netstat_unique_ips,1.2667,1.36,0.2022,0.64
WannaCry,netstat_outbound_count,10.7333,11.44,0.359,0.64
WannaCry,netstat_established_ratio,0.0232,0.0327,0.2315,0.64
WannaCry,netstat_outbound_ratio,0.2581,0.2746,0.5323,0.64
WannaCry,vad_exec_ratio,0.3453,0.3261,2.7296,0.0
WannaCry,vad_priv_exec_ratio,0.0013,0.0009,1.7719,0.12
WannaCry,vad_rwx_ratio,0.0012,0.0008,1.4426,0.4133
WannaCry,vad_private_ratio,0.4381,0.4564,1.7266,0.2267
WannaCry,ldrmodules_suspicious_path_ratio,0.0026,0.0126,0.6752,0.28
WannaCry,filescan_encrypted_ratio,0.0894,0.0001,2.1769,0.0
WannaCry,cmdline_unusual_dir_ratio,0.0251,0.0637,2.3696,0.08
WannaCry,dlllist_unusual_path_ratio,0.0118,0.0167,0.9376,0.84
WannaCry,dlllist_crypto_ratio,0.0323,0.0354,0.7561,0.6533
WannaCry,malfind_rwx_ratio,0.4111,0.6727,0.5988,0.36
WannaCry,signal_injection_score,0.7017,0.6355,0.2221,0.88
WannaCry,signal_encryption_score,0.7182,0.0046,2.7032,0.0
WannaCry,tier1_composite,0.3786,0.4437,0.5977,0.52
